
grid parameters: 

         I           yp             yn            ys                 dn              ds    
         1   -0.1702100E-05    0.0000000E+00   -0.3404200E-05    0.1702100E-05    0.0000000E+00
         2    0.1702100E-05    0.3404200E-05    0.0000000E+00    0.1702100E-05    0.1702100E-05
         3    0.5446720E-05    0.7489240E-05    0.3404200E-05    0.2042520E-05    0.2042520E-05
         4    0.9940265E-05    0.1239129E-04    0.7489240E-05    0.2451025E-05    0.2451025E-05
         5    0.1533252E-04    0.1827375E-04    0.1239129E-04    0.2941230E-05    0.2941230E-05
         6    0.2180323E-04    0.2533270E-04    0.1827375E-04    0.3529477E-05    0.3529477E-05
         7    0.2956807E-04    0.3380344E-04    0.2533270E-04    0.4235370E-05    0.4235370E-05
         8    0.3888589E-04    0.4396834E-04    0.3380344E-04    0.5082446E-05    0.5082446E-05
         9    0.5006727E-04    0.5616621E-04    0.4396834E-04    0.6098935E-05    0.6098935E-05
        10    0.6348493E-04    0.7080365E-04    0.5616621E-04    0.7318724E-05    0.7318724E-05
        11    0.7958612E-04    0.8836859E-04    0.7080365E-04    0.8782466E-05    0.8782466E-05
        12    0.9890755E-04    0.1094465E-03    0.8836859E-04    0.1053896E-04    0.1053896E-04
        13    0.1220932E-03    0.1347400E-03    0.1094465E-03    0.1264675E-04    0.1264675E-04
        14    0.1499161E-03    0.1650922E-03    0.1347400E-03    0.1517611E-04    0.1517611E-04
        15    0.1833035E-03    0.2015149E-03    0.1650922E-03    0.1821132E-04    0.1821132E-04
        16    0.2233685E-03    0.2452221E-03    0.2015149E-03    0.2185360E-04    0.2185360E-04
        17    0.2714464E-03    0.2976707E-03    0.2452221E-03    0.2622431E-04    0.2622431E-04
        18    0.3291399E-03    0.3606090E-03    0.2976707E-03    0.3146917E-04    0.3146917E-04
        19    0.3983720E-03    0.4361350E-03    0.3606090E-03    0.3776301E-04    0.3776301E-04
        20    0.4814507E-03    0.5267663E-03    0.4361350E-03    0.4531562E-04    0.4531562E-04
        21    0.5811451E-03    0.6355238E-03    0.5267663E-03    0.5437873E-04    0.5437873E-04
        22    0.7007782E-03    0.7660327E-03    0.6355238E-03    0.6525448E-04    0.6525448E-04
        23    0.8443381E-03    0.9226435E-03    0.7660327E-03    0.7830540E-04    0.7830540E-04
        24    0.1016610E-02    0.1110577E-02    0.9226435E-03    0.9396652E-04    0.9396652E-04
        25    0.1223336E-02    0.1336096E-02    0.1110577E-02    0.1127598E-03    0.1127598E-03
        26    0.1471408E-02    0.1606719E-02    0.1336096E-02    0.1353117E-03    0.1353117E-03
        27    0.1769094E-02    0.1931468E-02    0.1606719E-02    0.1623741E-03    0.1623741E-03
        28    0.2126317E-02    0.2321166E-02    0.1931468E-02    0.1948489E-03    0.1948489E-03
        29    0.2554984E-02    0.2788803E-02    0.2321166E-02    0.2338187E-03    0.2338187E-03
        30    0.3069385E-02    0.3349968E-02    0.2788803E-02    0.2805826E-03    0.2805826E-03
        31    0.3686667E-02    0.4023366E-02    0.3349968E-02    0.3366988E-03    0.3366988E-03
        32    0.4427405E-02    0.4831444E-02    0.4023366E-02    0.4040389E-03    0.4040389E-03
        33    0.5316290E-02    0.5801137E-02    0.4831444E-02    0.4848465E-03    0.4848465E-03
        34    0.6382952E-02    0.6964768E-02    0.5801137E-02    0.5818156E-03    0.5818156E-03
        35    0.7662947E-02    0.8361126E-02    0.6964768E-02    0.6981792E-03    0.6981792E-03
        36    0.9198941E-02    0.1003676E-01    0.8361126E-02    0.8378150E-03    0.8378150E-03
        37    0.1104213E-01    0.1204751E-01    0.1003676E-01    0.1005378E-02    0.1005378E-02
        38    0.1325397E-01    0.1446042E-01    0.1204751E-01    0.1206453E-02    0.1206453E-02
        39    0.1590816E-01    0.1735591E-01    0.1446042E-01    0.1447744E-02    0.1447744E-02
        40    0.1909320E-01    0.2083050E-01    0.1735591E-01    0.1737294E-02    0.1737294E-02
        41    0.2291525E-01    0.2500000E-01    0.2083050E-01    0.2084752E-02    0.2084752E-02
        42    0.2708475E-01    0.2916950E-01    0.2500000E-01    0.2084752E-02    0.2084752E-02
        43    0.3090680E-01    0.3264409E-01    0.2916950E-01    0.1737294E-02    0.1737294E-02
        44    0.3409183E-01    0.3553958E-01    0.3264409E-01    0.1447745E-02    0.1447745E-02
        45    0.3674603E-01    0.3795249E-01    0.3553958E-01    0.1206454E-02    0.1206454E-02
        46    0.3895786E-01    0.3996324E-01    0.3795249E-01    0.1005378E-02    0.1005378E-02
        47    0.4080106E-01    0.4163887E-01    0.3996324E-01    0.8378159E-03    0.8378159E-03
        48    0.4233705E-01    0.4303523E-01    0.4163887E-01    0.6981790E-03    0.6981790E-03
        49    0.4361705E-01    0.4419886E-01    0.4303523E-01    0.5818158E-03    0.5818158E-03
        50    0.4468371E-01    0.4516856E-01    0.4419886E-01    0.4848465E-03    0.4848465E-03
        51    0.4557259E-01    0.4597664E-01    0.4516856E-01    0.4040394E-03    0.4040394E-03
        52    0.4631333E-01    0.4665003E-01    0.4597664E-01    0.3366992E-03    0.3366992E-03
        53    0.4693062E-01    0.4721120E-01    0.4665003E-01    0.2805833E-03    0.2805833E-03
        54    0.4744502E-01    0.4767884E-01    0.4721120E-01    0.2338178E-03    0.2338178E-03
        55    0.4787368E-01    0.4806853E-01    0.4767884E-01    0.1948494E-03    0.1948494E-03
        56    0.4823091E-01    0.4839328E-01    0.4806853E-01    0.1623742E-03    0.1623742E-03
        57    0.4852860E-01    0.4866391E-01    0.4839328E-01    0.1353119E-03    0.1353119E-03
        58    0.4877666E-01    0.4888942E-01    0.4866391E-01    0.1127589E-03    0.1127589E-03
        59    0.4898339E-01    0.4907736E-01    0.4888942E-01    0.9396672E-04    0.9396672E-04
        60    0.4915566E-01    0.4923397E-01    0.4907736E-01    0.7830560E-04    0.7830560E-04
        61    0.4929923E-01    0.4936448E-01    0.4923397E-01    0.6525405E-04    0.6525405E-04
        62    0.4941886E-01    0.4947323E-01    0.4936448E-01    0.5437806E-04    0.5437806E-04
        63    0.4951855E-01    0.4956387E-01    0.4947323E-01    0.4531629E-04    0.4531629E-04
        64    0.4960163E-01    0.4963939E-01    0.4956387E-01    0.3776327E-04    0.3776327E-04
        65    0.4967086E-01    0.4970233E-01    0.4963939E-01    0.3146939E-04    0.3146939E-04
        66    0.4972856E-01    0.4975478E-01    0.4970233E-01    0.2622418E-04    0.2622418E-04
        67    0.4977664E-01    0.4979849E-01    0.4975478E-01    0.2185442E-04    0.2185442E-04
        68    0.4981670E-01    0.4983491E-01    0.4979849E-01    0.1821108E-04    0.1821108E-04
        69    0.4985009E-01    0.4986526E-01    0.4983491E-01    0.1517683E-04    0.1517683E-04
        70    0.4987791E-01    0.4989056E-01    0.4986526E-01    0.1264736E-04    0.1264736E-04
        71    0.4990110E-01    0.4991164E-01    0.4989056E-01    0.1053885E-04    0.1053885E-04
        72    0.4992042E-01    0.4992920E-01    0.4991164E-01    0.8782372E-05    0.8782372E-05
        73    0.4993652E-01    0.4994384E-01    0.4992920E-01    0.7318333E-05    0.7318333E-05
        74    0.4994994E-01    0.4995603E-01    0.4994384E-01    0.6098300E-05    0.6098300E-05
        75    0.4996112E-01    0.4996620E-01    0.4995603E-01    0.5083159E-05    0.5083159E-05
        76    0.4997044E-01    0.4997467E-01    0.4996620E-01    0.4235655E-05    0.4235655E-05
        77    0.4997820E-01    0.4998173E-01    0.4997467E-01    0.3529713E-05    0.3529713E-05
        78    0.4998467E-01    0.4998761E-01    0.4998173E-01    0.2941117E-05    0.2941117E-05
        79    0.4999007E-01    0.4999252E-01    0.4998761E-01    0.2451241E-05    0.2451241E-05
        80    0.4999456E-01    0.4999660E-01    0.4999252E-01    0.2043322E-05    0.2043322E-05
        81    0.4999831E-01    0.5000000E-01    0.4999660E-01    0.1702458E-05    0.1702458E-05
        82    0.5000170E-01    0.7622475E-38    0.5000000E-01    0.1157145E-37    0.1702458E-05
