
Final Solution Fields: 

         I            y          y+n               Velocity      total viscosity        turb vis            UG12   
         2    0.1702100E-05    0.6592054E-01    0.6383467E-03    0.1000000E-02    0.5065483E-11    0.3749837E+03
         3    0.5446720E-05    0.1450252E+00    0.2042518E-02    0.1000000E-02    0.1182693E-09    0.3749224E+03
         4    0.9940265E-05    0.2399507E+00    0.3727249E-02    0.1000001E-02    0.8827853E-09    0.3748486E+03
         5    0.1533252E-04    0.3538615E+00    0.5748528E-02    0.1000004E-02    0.4155486E-08    0.3747590E+03
         6    0.2180323E-04    0.4905544E+00    0.8173483E-02    0.1000015E-02    0.1525955E-07    0.3746491E+03
         7    0.2956807E-04    0.6545858E+00    0.1108258E-01    0.1000048E-02    0.4804612E-07    0.3745098E+03
         8    0.3888589E-04    0.8514235E+00    0.1457219E-01    0.1000136E-02    0.1363817E-06    0.3743241E+03
         9    0.5006727E-04    0.1087629E+01    0.1875765E-01    0.1000360E-02    0.3595104E-06    0.3740579E+03
        10    0.6348493E-04    0.1371075E+01    0.2377663E-01    0.1000897E-02    0.8967302E-06    0.3736376E+03
        11    0.7958612E-04    0.1711211E+01    0.2979264E-01    0.1002143E-02    0.2142579E-05    0.3729102E+03
        12    0.9890755E-04    0.2119374E+01    0.3699780E-01    0.1004943E-02    0.4942795E-05    0.3715564E+03
        13    0.1220932E-03    0.2609169E+01    0.4561260E-01    0.1011059E-02    0.1105861E-04    0.3689336E+03
        14    0.1499161E-03    0.3196923E+01    0.5587738E-01    0.1024019E-02    0.2401851E-04    0.3638199E+03
        15    0.1833035E-03    0.3902229E+01    0.6802440E-01    0.1050488E-02    0.5048760E-04    0.3541327E+03
        16    0.2233685E-03    0.4748595E+01    0.8221269E-01    0.1101948E-02    0.1019481E-03    0.3369997E+03
        17    0.2714464E-03    0.5764235E+01    0.9841494E-01    0.1195734E-02    0.1957339E-03    0.3099099E+03
        18    0.3291399E-03    0.6983003E+01    0.1162947E+00    0.1354323E-02    0.3543229E-03    0.2729225E+03
        19    0.3983720E-03    0.8445524E+01    0.1351897E+00    0.1603782E-02    0.6037818E-03    0.2297645E+03
        20    0.4814507E-03    0.1020055E+02    0.1542783E+00    0.1973861E-02    0.9738609E-03    0.1859973E+03
        21    0.5811451E-03    0.1230658E+02    0.1728211E+00    0.2500121E-02    0.1500121E-02    0.1461935E+03
        22    0.7007782E-03    0.1483382E+02    0.1903107E+00    0.3226243E-02    0.2226243E-02    0.1126835E+03
        23    0.8443381E-03    0.1786650E+02    0.2064876E+00    0.4205123E-02    0.3205123E-02    0.8589407E+02
        24    0.1016610E-02    0.2150573E+02    0.2212847E+00    0.5498290E-02    0.4498290E-02    0.6517957E+02
        25    0.1223336E-02    0.2587279E+02    0.2347590E+00    0.7173472E-02    0.6173471E-02    0.4948692E+02
        26    0.1471408E-02    0.3111327E+02    0.2470353E+00    0.9300099E-02    0.8300099E-02    0.3773447E+02
        27    0.1769094E-02    0.3740185E+02    0.2582684E+00    0.1194294E-01    0.1094294E-01    0.2897647E+02
        28    0.2126317E-02    0.4494814E+02    0.2686194E+00    0.1515515E-01    0.1415515E-01    0.2244910E+02
        29    0.2554984E-02    0.5400369E+02    0.2782426E+00    0.1897252E-01    0.1797252E-01    0.1756253E+02
        30    0.3069385E-02    0.6487035E+02    0.2872768E+00    0.2341142E-01    0.2241142E-01    0.1387310E+02
        31    0.3686667E-02    0.7791034E+02    0.2958404E+00    0.2847164E-01    0.2747164E-01    0.1105265E+02
